idx  group  line  radius  length  endP0x  endP0y  endP0z  endP1x  endP1y  endP1z
  0      0      0      0.06161     0.56501     123.29795    2.17228     77.47693    123.13757    2.71403    77.47193
  1      0     80      0.05645     0.15839     123.13757    2.71403     77.47193    123.14313    2.71217    77.63021
  2      0     14      0.05574     0.38967     122.92561    2.05746     77.47210    123.29795    2.17228    77.47693
  3      0     24      0.06575     0.19011     122.64181    4.39849     77.45412    122.61748    4.39658    77.64266
  4      0     86      0.05896     0.29681     122.92561    2.05746     77.47210    122.92631    2.06372    77.76884
  5      0     157      0.05654     1.49496     121.18326    3.97478     77.63988    122.61748    4.39658    77.64266
  6      0     11      0.05397     0.86045     123.14331    1.23108     77.76879    122.92631    2.06372    77.76884
  7      0     168      0.04714     0.27748     124.44340    4.93357     77.64620    124.44139    4.94223    77.36886
  8      0     187      0.06963     0.16625     121.18348    3.97514     77.47363    121.18326    3.97478    77.63988
  9      0     66      0.05994     0.10834     126.82099    5.63163     77.65083    126.86767    5.64662    77.74744
 10      0      8      0.03774     0.12965     124.74302    3.93080     77.33509    124.70599    4.05497    77.33924
 11      0     135      0.08272     1.89116     121.76201    2.01570     77.47022    121.22649    3.82946    77.47338
 12      0     96      0.03506     0.29676     124.70599    4.05497     77.33924    124.99058    4.13907    77.33692
 13      0     61      0.06237     0.21369     121.02787    3.75069     77.47636    121.22649    3.82946    77.47338
 14      0     22      0.07715     0.36472     120.86321    5.06714     77.47550    120.80285    5.30679    77.74373
 15      0     56      0.06663     0.10243     121.01356    3.64927     77.47569    121.02787    3.75069    77.47636
